metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
storm.cluster.availCpu,gauge,,core,,Available Storm Cluster CPU,0,storm,
storm.cluster.availMem,gauge,,mebibyte,,Available Storm Cluster Memory,0,storm,
storm.cluster.cpuAssignedPercentUtil,gauge,,percent,,Storm Cluster CPU Assigned Percent,-1,storm,
storm.cluster.executorsTotal,gauge,,thread,,Total Storm Cluster Executors,0,storm,
storm.cluster.memAssignedPercentUtil,gauge,,percent,,Storm Cluster Memory Assigned Percent,-1,storm,
storm.cluster.slotsFree,gauge,,process,,Total Cluster Slots Available,0,storm,
storm.cluster.slotsTotal,gauge,,process,,Total Cluster Slots,0,storm,
storm.cluster.slotsUsed,gauge,,process,,Total Storm Cluster Slots Used,0,storm,
storm.cluster.supervisors,gauge,,worker,,Total Storm Cluster Supervisors,0,storm,
storm.cluster.tasksTotal,gauge,,task,task,Total Storm Cluster Tasks,0,storm,
storm.cluster.topologies,gauge,,service,,Number of Storm Topologies,0,storm,
storm.cluster.totalCpu,gauge,,core,,Total Storm Cluster CPU,0,storm,
storm.cluster.totalMem,gauge,,mebibyte,,Total Storm Cluster Memory,0,storm,
storm.nimbus.numDead,gauge,,node,,Number of Dead Nimbus Nodes,-1,storm,
storm.nimbus.numFollowers,gauge,,node,,Number of Follower Nimbus Nodes,0,storm,
storm.nimbus.numLeaders,gauge,,node,,Number of Leader Nimbus Nodes,0,storm,
storm.nimbus.numOffline,gauge,,node,,Number of Offline Nimbus Nodes,-1,storm,
storm.nimbus.upTimeSeconds,gauge,,second,,Nimbus Uptime Seconds,1,storm,
storm.supervisor.slotsTotal,gauge,,process,,Total Supervisor Slots,0,storm,
storm.supervisor.slotsUsed,gauge,,process,,Used Supervisor Slots,0,storm,
storm.supervisor.totalCpu,gauge,,core,,Total Supervisor CPU,0,storm,
storm.supervisor.totalMem,gauge,,mebibyte,,Total Supervisor Memory,0,storm,
storm.supervisor.uptimeSeconds,gauge,,second,,Supervisor Uptime,1,storm,
storm.supervisor.usedCpu,gauge,,core,,Used Supervisor CPU,0,storm,
